Данные внешнеторгового оборота с сайта: https://wits.worldbank.org/;;;;;;;;
ВВП с сайта ООН: https://data.un.org/;;;;;;;;
Расстояние между столицами можно посмотреть здесь: https://ru.distance.to/;;;;;;;;
;;Год;Экспорт+импорт между странами (в тысячах долларов);ВВП Германии (в тысячах долларов);ВВП страны-партнера (в тысячах долларов);Расстояние от столицы до столицы (км);Наличие общей границы (1-если есть общая граница, 0-в ином случае);
Germany;Partner;year;e&i;gdp_g;p_gdp;dist;cborder;Number
France;United Kingdom;2014;66229407.95;2750675573.644;2657160857.591;343.83;0;38
France;Greece;2014;3625877.69;2750675573.645;245794707.734;2096.15;0;39
France;Croatia;2014;603808.24;2750675573.646;23171865.402;1079.81;0;40
France;Hungary;2014;8856427.51;2750675573.647;139309419.213;1244.66;0;41
France;Ireland;2014;11017889.52;2750675573.648;251971996.607;779.47;0;42
France;Italy;2014;89008075.13;2750675573.649;2043486014.884;1107.31;1;43
France;Lithuania;2014;1481160.1;2750675573.650;43807995.38;1696.86;0;44
France;Luxembourg;2014;5058094.19;2750675573.651;58779842.052;294.28;1;45
France;Latvia;2014;772672.37;2750675573.652;27441384.484;1703.78;0;46
France;Malta;2014;633602.15;2750675573.653;10292499.777;1748.91;0;47
France;Netherlands;2014;51661873.93;2750675573.654;861986555.085;430.64;0;48
France;Poland;2014;20523717.41;2750675573.655;535792126.82;1367.01;0;49
France;Portugal;2014;12130524.81;2750675573.656;223971165.725;1453.17;0;50
France;Romania;2014;8723659.9;2750675573.657;183708765.785;1871.11;0;51
France;Slovak Republic;2014;7037766.26;2750675573.658;97554865.847;1088.79;0;52
France;Slovenia;2014;2606570.21;2750675573.659;47874985.154;964.72;0;53
France;Sweden;2014;14031395.77;2750675573.660;519891606.168;1544.55;0;54
Germany;Austria;2015;105709400.84;3718482300.426;413554595.891;523.91;1;1
Germany;Belgium;2015;86228560.8;3718482300.426;509186020.814;651.51;1;2
Germany;Bulgaria;2015;7049379.89;3718482300.426;54635973.534;1319.23;0;3
Germany;Cyprus;2015;735391.69;3718482300.426;23626540.318;2489.79;0;4
Germany;Czech Republic;2015;83932540.57;3718482300.426;225492702.211;279.94;1;5
Germany;Denmark;2015;32581918.91;3718482300.426;343294497.317;445.46;1;6
Germany;Spain;2015;71981264.65;3718482300.426;1420986918.954;1870.33;0;7
Germany;Estonia;2015;2382037;3718482300.426;23341277.58;1040.71;0;8
Germany;Finland;2015;19702463.08;3718482300.426;247409110.554;1104.89;0;9
Germany;France;2015;188107023.44;3718482300.426;2781288181.57;878.32;0;10
Germany;United Kingdom;2015;141261648.69;3718482300.426;2719589793.166;932.24;0;11
Germany;Greece;2015;7170396.02;3718482300.426;244718534.987;1803.74;0;12
Germany;Croatia;2015;4254007.65;3718482300.426;59343392.497;769.34;0;13
Germany;Hungary;2015;50560268.42;3718482300.426;144235993.005;688.38;0;14
Germany;Ireland;2015;18501520.18;3718482300.426;316886817.463;1317.05;0;15
Germany;Italy;2015;118659523.83;3718482300.426;2062367672.145;1184.57;0;16
Germany;Lithuania;2015;4922104.85;3718482300.426;44693192.016;818.48;0;17
Germany;Luxembourg;2015;9465181.76;3718482300.426;61081638.753;602.83;0;18
Germany;Latvia;2015;2511801.1;3718482300.426;28256834.484;843.26;0;19
Germany;Malta;2015;1091184.84;3718482300.426;11272441.432;1849.02;0;20
Germany;Netherlands;2015;185302602.02;3718482300.426;881473976.677;577.54;1;21
Germany;Poland;2015;107440587.52;3718482300.426;556360892.78;516.57;1;22
Germany;Portugal;2015;14481104.13;3718482300.426;228052070.137;2313.56;0;23
Germany;Romania;2015;25459797.84;3718482300.426;191008900.509;1295.15;0;24
Germany;Slovak Republic;2015;28655085.08;3718482300.426;101627657.794;552.82;0;25
Germany;Slovenia;2015;10799042.2;3718482300.426;48978432.183;724.37;0;26
Germany;Sweden;2015;41030135.94;3718482300.426;543060934.891;810.44;0;27
France;Austria;2015;9941385.23;2781288181.57;413554595.891;1033.94;0;28
France;Belgium;2015;74416005.78;2781288181.58;509186020.814;264.39;1;29
France;Bulgaria;2015;1974633.39;2781288181.59;54635973.534;1758.11;0;30
France;Cyprus;2015;340052.14;2781288181.60;23626540.318;2950.30;0;31
France;Czech Republic;2015;10960945.38;2781288181.61;225492702.211;882.31;0;32
France;Germany;2015;175295204.04;2781288181.62;3718482300.426;876.67;1;33
France;Denmark;2015;5439159.47;2781288181.63;343294497.317;948.06;0;34
France;Spain;2015;70983327.17;2781288181.64;1420986918.954;1052.79;1;35
France;Estonia;2015;582691.37;2781288181.65;23341277.58;1859.15;0;36
France;Finland;2015;4288263.71;2781288181.66;247409110.554;1909.34;0;37
France;United Kingdom;2015;56627551.62;2781288181.67;2719589793.166;343.83;0;38
France;Greece;2015;3009157.67;2781288181.68;244718534.987;2096.15;0;39
France;Croatia;2015;594256.91;2781288181.69;59343392.497;1079.81;0;40
France;Hungary;2015;8088281.08;2781288181.70;144235993.005;1244.66;0;41
France;Ireland;2015;9910192.98;2781288181.71;316886817.463;779.47;0;42
France;Italy;2015;77022594.45;2781288181.72;2062367672.145;1107.31;1;43
France;Lithuania;2015;1223635.17;2781288181.73;44693192.016;1696.86;0;44
France;Luxembourg;2015;3781480.09;2781288181.74;61081638.753;294.28;1;45
France;Latvia;2015;543625.99;2781288181.75;28256834.484;1703.78;0;46
France;Malta;2015;604980.77;2781288181.76;11272441.432;1748.91;0;47
France;Netherlands;2015;43132781.14;2781288181.77;881473976.677;430.64;0;48
France;Poland;2015;18467934.03;2781288181.78;556360892.78;1367.01;0;49
France;Portugal;2015;10730988.09;2781288181.79;228052070.137;1453.17;0;50
France;Romania;2015;7516605.12;2781288181.80;191008900.509;1871.11;0;51
France;Slovak Republic;2015;6607364.21;2781288181.81;101627657.794;1088.79;0;52
France;Slovenia;2015;2054344.83;2781288181.82;48978432.183;964.72;0;53
France;Sweden;2015;11928426.62;2781288181.83;543060934.891;1544.55;0;54
Germany;Austria;2016;107893404.65;3801859415.701;421989351.972;523.91;1;1
Germany;Belgium;2016;87684018.05;3801859415.701;516766169.336;651.51;1;2
Germany;Bulgaria;2016;7408557.7;3801859415.701;56786830.394;1319.23;0;3
Germany;Cyprus;2016;902940;3801859415.701;24763426.271;2489.79;0;4
Germany;Czech Republic;2016;89637700.28;3801859415.701;231018496.459;279.94;1;5
Germany;Denmark;2016;33257952.21;3801859415.701;351532474.229;445.46;1;6
Germany;Spain;2016;75248076.91;3801859415.701;1466069003.021;1870.33;0;7
Germany;Estonia;2016;2524187.91;3801859415.701;23822869.474;1040.71;0;8
Germany;Finland;2016;19252537.82;3801859415.701;253538546.938;1104.89;0;9
Germany;France;2016;183586234.73;3801859415.701;2813858460.985;878.32;0;10
Germany;United Kingdom;2016;133496677.53;3801859415.701;2768440622.491;932.24;0;11
Germany;Greece;2016;7657497.06;3801859415.701;244251239.365;1803.74;0;12
Germany;Croatia;2016;4865527.2;3801859415.701;61441842.441;769.34;0;13
Germany;Hungary;2016;53047418.62;3801859415.701;147525724.288;688.38;0;14
Germany;Ireland;2016;19755572.29;3801859415.701;332635005.979;1317.05;0;15
Germany;Italy;2016;124518991.27;3801859415.701;2085992358.269;1184.57;0;16
Germany;Lithuania;2016;5254713.25;3801859415.701;45744903.856;818.48;0;17
